agent,elo,ts_mu,ts_sigma,ts_conservative
Heuristic,1618.93,0.0,0.0,0.0
MCTS-All,1547.95,0.0,0.0,0.0
MCTS-HeurRollout,1544.71,0.0,0.0,0.0
MCTS-Opponent,1529.45,0.0,0.0,0.0
MCTS-Prior,1437.55,0.0,0.0,0.0
MCTS-RAVE,1547.5,0.0,0.0,0.0
MCTS-UCB1Tuned,1507.95,0.0,0.0,0.0
MCTS-Vanilla,1444.6,0.0,0.0,0.0
Random,1321.36,0.0,0.0,0.0
