agent,elo,ts_mu,ts_sigma,ts_conservative
Heuristic,1558.44,33.6471,4.6861,19.5888
MCTS-All,1530.11,25.9706,3.7995,14.572
MCTS-HeurRollout,1529.9,26.2331,4.0019,14.2273
MCTS-Opponent,1556.86,29.1846,3.8414,17.6604
MCTS-Prior,1416.14,13.5992,4.6996,-0.4997
MCTS-RAVE,1492.95,26.9517,5.2896,11.083
MCTS-UCB1Tuned,1488.33,23.3624,4.758,9.0883
MCTS-Vanilla,1506.66,25.961,3.8774,14.3288
Random,1420.6,16.406,5.4117,0.1709
