run_dir,parameter_name,parameter_value,focus_agent,elo,ts_conservative,games,wins,win_rate,avg_survival,avg_final_length,avg_placement,game_cap_rate,vs_heuristic_win_rate,vs_mcts_vanilla_win_rate,vs_random_win_rate
iterations_25,iterations,25,MCTS-All-iterations-25,1587.6,18.6429,30.0,20.0,0.6666666666666666,121.66666666666667,16.4,1.3333333333333333,0.16666666666666666,0.4,0.6,1.0
iterations_50,iterations,50,MCTS-All-iterations-50,1569.0,19.8533,30.0,19.0,0.6333333333333333,117.4,15.866666666666667,1.3666666666666667,0.21666666666666667,0.3,0.7,0.9
iterations_100,iterations,100,MCTS-All-iterations-100,1614.39,21.5618,30.0,21.0,0.7,117.13333333333334,16.3,1.3,0.21666666666666667,0.4,0.7,1.0
