run_dir,parameter_name,parameter_value,focus_agent,elo,ts_conservative,games,wins,win_rate,avg_survival,avg_final_length,avg_placement,game_cap_rate,vs_heuristic_win_rate,vs_mcts_vanilla_win_rate,vs_random_win_rate
rollout_depth_4,rollout_depth,4,MCTS-All-rollout_depth-4,1596.15,19.919,30.0,22.0,0.7333333333333333,110.13333333333334,16.333333333333332,1.2666666666666666,0.21666666666666667,0.5,0.7,1.0
rollout_depth_8,rollout_depth,8,MCTS-All-rollout_depth-8,1630.66,20.6179,30.0,23.0,0.7666666666666667,131.2,18.066666666666666,1.2333333333333334,0.25,0.5,0.8,1.0
rollout_depth_12,rollout_depth,12,MCTS-All-rollout_depth-12,1608.08,20.4147,30.0,23.0,0.7666666666666667,136.5,17.7,1.2333333333333334,0.25,0.5,0.9,0.9
