agent,elo,ts_mu,ts_sigma,ts_conservative
Heuristic,1801.72,36.7044,1.7652,31.4089
MCTS-All,1406.34,25.0095,1.0697,21.8005
MCTS-HeurRollout,1698.49,34.7243,1.2559,30.9566
MCTS-Opponent,1475.64,36.2585,1.0376,33.1458
MCTS-Prior,1339.49,29.3305,1.3415,25.306
MCTS-RAVE,1567.63,37.4795,1.4438,33.148
MCTS-UCB1Tuned,1595.46,39.6115,1.4733,35.1915
MCTS-Vanilla,1306.94,24.9349,1.2015,21.3304
Random,1308.29,21.5198,1.7341,16.3174
